date,time,zipcode_id,alimentos,restaurantes,hoteles,ocio,health_goods,aerolineas,servicios,bienes,gasolina,total
20250520,13,11000,63229.32,,14015.2,738.0,35766.24,,1095362.71,302303.21,,1397665.92
20250528,9,6100,32610.82,130.0,,,13454.81,,42332.0,49423.89,,91755.89
20250522,8,7020,1306.0,286.0,,,2295.39,,29273.1,3601.39,,32874.49
20250524,20,7020,1892.5,3420.6,,,3584.01,,3420.6,5476.51,,8897.11
20250608,6,6820,584.0,540.0,,,277.0,,719.0,11967.99,,12686.99
20250521,0,7780,236.5,27197.11,1600.0,,,,68254.69,286387.28,10800.0,354641.97
20250509,0,9429,,,,,828.0,,,12393.2,,12393.2
20250513,5,9700,189.0,428.93,,,,,1512.0,617.93,,3115.74
20250505,21,9640,3136.43,,,,,,,3136.43,,3136.43
20250513,12,11950,85248.78,,,,,,990.41,86487.18,,87477.59
20250519,22,11000,995.2,768.65,,3181.0,4598.9,,440358.0,73300.52,,513658.52
20250602,14,3660,14088.23,,,,29993.31,,,44081.54,,44081.54
20250608,7,14420,7037.77,1420.0,,,409.01,,2077.0,22308.21,,24385.21
20250529,23,9040,444.2,1893.3,,,,,1893.3,444.2,,2337.5
20250611,18,5500,1296.5,,,,,,1968.0,1296.5,,3264.5
20250527,9,14200,24823.61,,,,7001.5,,,32295.09,,32295.09
20250609,17,6010,17560.11,,,,,,,53301.57,,53301.57
20250516,0,6020,4144.18,5420.0,8041.9,2480.0,14902.7,,178651.35,2068032.07,,2445732.85
20250604,8,6760,13851.8,,,,17637.16,,3715.3,34554.96,,38270.26
20250514,3,14420,192.0,327.0,,,676.02,,5874.0,1136.02,,7010.02
20250509,10,16001,1443.0,,,,,,,1443.0,,1443.0
20250605,2,6030,853.0,2122.0,,,,,81837.0,2177.0,,84014.0
20250603,10,7130,707.0,,,,,,,707.0,,707.0
20250604,7,2830,371.0,,,,1446.5,,,1817.5,,1817.5
20250503,10,11520,21591.42,11766.17,,,15075.5,,1156019.67,380292.77,,1536312.44
20250530,19,11410,18156.99,2571.8,,,,,2571.8,18156.99,,28969.09
20250525,3,3660,232.0,,,,2915.44,,,4928.39,,4928.39
20250512,2,6600,15929.48,410.0,13360.43,,542.0,,143153.84,45137.16,,188291.0
